ID,Frage,Antwort A,Antwort B,Antwort C,Richtige Antwort,Status,Abteilung Eingereicht von,Eingereicht von,Eingereicht am,Freigegeben von,Freigegeben am,Abgelehnt von,Abgelehnt am,Abgelehnt Kommentar,Bearbeitet von,Bearbeitet am,Bearbeitet Kommentar
MAC-005,Was ist Schritt 5 im Prozess von Machining?,Option A für Schritt 5,Option B für Schritt 5,Option C für Schritt 5,B,Abgelehnt,Machining,MSL,2025-06-20,,,MKA,2025-06-23,Nicht spezifisch genug.,,,
MAC-006,Was ist Schritt 6 im Prozess von Machining?,Option A für Schritt 6,Option B für Schritt 6,Option C für Schritt 6,B,Abgelehnt,Machining,MSL,2025-07-04,,,PGI,2025-04-08,Nicht spezifisch genug.,,,
MAC-007,Was ist Schritt 7 im Prozess von Machining?,Option A für Schritt 7,Option B für Schritt 7,Option C für Schritt 7,C,Bearbeitet,Machining,MSL,2025-05-22,,,,,,PGI,2025-07-01,Antwort C wurde aktualisiert.
MAC-008,Was ist Schritt 8 im Prozess von Machining?,Option A für Schritt 8,Option B für Schritt 8,Option C für Schritt 8,A,Abgelehnt,Machining,MSL,2025-06-27,,,MKA,2025-07-03,Nicht spezifisch genug.,,,
MAC-009,Was ist Schritt 9 im Prozess von Machining?,Option A für Schritt 9,Option B für Schritt 9,Option C für Schritt 9,B,Abgelehnt,Machining,MKA,2025-06-02,,,MKA,2025-06-14,Nicht spezifisch genug.,,,
MAC-010,Was ist Schritt 10 im Prozess von Machining?,Option A für Schritt 10,Option B für Schritt 10,Option C für Schritt 10,C,Offen,Machining,PGI,2025-06-23,,,,,,,,
MAC-011,Was ist Schritt 11 im Prozess von Machining?,Option A für Schritt 11,Option B für Schritt 11,Option C für Schritt 11,A,Offen,Machining,MSL,2025-05-08,,,,,,,,
MAC-012,Was ist Schritt 12 im Prozess von Machining?,Option A für Schritt 12,Option B für Schritt 12,Option C für Schritt 12,C,Freigegeben,Machining,PGI,2025-06-03,MSL,2025-05-24,,,,,,
MAC-013,Was ist Schritt 13 im Prozess von Machining?,Option A für Schritt 13,Option B für Schritt 13,Option C für Schritt 13,C,Bearbeitet,Machining,MKA,2025-06-01,,,,,,MKA,2025-06-01,Antwort C wurde aktualisiert.
MAC-014,Was ist Schritt 14 im Prozess von Machining?,Option A für Schritt 14,Option B für Schritt 14,Option C für Schritt 14,C,Abgelehnt,Machining,MKA,2025-04-08,,,MSL,2025-05-20,Nicht spezifisch genug.,,,
MAC-015,Was ist Schritt 15 im Prozess von Machining?,Option A für Schritt 15,Option B für Schritt 15,Option C für Schritt 15,A,Bearbeitet,Machining,PGI,2025-07-04,,,,,,PGI,2025-06-15,Antwort C wurde aktualisiert.
MAC-016,Was ist Schritt 16 im Prozess von Machining?,Option A für Schritt 16,Option B für Schritt 16,Option C für Schritt 16,C,Abgelehnt,Machining,PGI,2025-07-02,,,MSL,2025-06-25,Nicht spezifisch genug.,,,
MAC-017,Was ist Schritt 17 im Prozess von Machining?,Option A für Schritt 17,Option B für Schritt 17,Option C für Schritt 17,B,Abgelehnt,Machining,MSL,2025-06-04,,,MKA,2025-04-16,Nicht spezifisch genug.,,,
MAC-018,Was ist Schritt 18 im Prozess von Machining?,Option A für Schritt 18,Option B für Schritt 18,Option C für Schritt 18,A,Offen,Machining,MSL,2025-05-21,,,,,,,,
MAC-019,Was ist Schritt 19 im Prozess von Machining?,Option A für Schritt 19,Option B für Schritt 19,Option C für Schritt 19,B,Bearbeitet,Machining,MSL,2025-05-17,,,,,,PGI,2025-06-22,Antwort C wurde aktualisiert.
MAC-020,Was ist Schritt 20 im Prozess von Machining?,Option A für Schritt 20,Option B für Schritt 20,Option C für Schritt 20,A,Freigegeben,Machining,PGI,2025-05-09,PGI,2025-04-24,,,,,,
